date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
09/26/1920,1920,0,0,RII,STP,1503.95,1300,0.8247,48,0,1
10/03/1920,1920,0,0,AKR,WHE,1503.42,1300,0.8242,43,0,1
10/03/1920,1920,0,0,RCH,ABU,1503.42,1300,0.8242,10,0,1
10/03/1920,1920,0,0,DAY,COL,1493,1504.91,0.5758,14,0,1
10/03/1920,1920,0,0,RII,MUN,1516.11,1478,0.6442,45,0,1
10/03/1920,1920,0,0,CHI,MUT,1368.33,1300,0.683,20,0,1
10/03/1920,1920,0,0,CBD,PTQ,1504.69,1300,0.8253,48,0,1
10/03/1920,1920,0,0,BFF,WBU,1478,1300,0.802,32,6,1
10/10/1920,1920,0,0,CBD,TLM,1516.8,1300,0.8351,42,0,1
10/10/1920,1920,0,0,BFF,ABU,1489.76,1292.49,0.819,51,0,1
10/10/1920,1920,0,0,DHR,CLP,1499.67,1300,0.8211,40,14,1
10/10/1920,1920,0,0,AKR,COL,1515.28,1482.48,0.6371,37,0,1
10/10/1920,1920,0,0,CHT,ARI,1300,1493,0.3237,0,0,0.5
10/10/1920,1920,0,0,DAY,CTI,1515.43,1464.51,0.6609,0,0,0.5
10/10/1920,1920,0,0,RCH,FTP,1510.93,1300,0.8304,66,0,1
10/10/1920,1920,0,0,RII,HAM,1542.14,1444.26,0.7186,26,0,1
10/10/1920,1920,0,0,CHI,KEW,1386.53,1300,0.7052,25,7,1
10/17/1920,1920,0,0,ARI,MUT,1487.63,1281.8,0.8262,33,3,1
10/17/1920,1920,0,0,RII,CHI,1559.41,1402.77,0.7817,0,7,0
10/17/1920,1920,0,0,RCH,UTI,1523.61,1300,0.8404,0,0,0.5
10/17/1920,1920,0,0,CBD,CTI,1527.8,1469.41,0.6705,7,0,1
10/17/1920,1920,0,0,AKR,CNC,1540.55,1300,0.8531,13,0,1
10/17/1920,1920,0,0,FTW,COL,1300,1457.2,0.3703,14,0,1
10/17/1920,1920,0,0,CHT,DHR,1305.38,1510.2,0.309,12,0,1
10/17/1920,1920,0,0,DAY,HAM,1510.53,1426.99,0.7016,44,0,1
