date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
43349,2018,0,0,Philadelphia Eagles,Atlanta Falcons,,,,,,
43352,2018,0,0,Cleveland Browns,Pittsburgh Steelers,,,,,,
43352,2018,0,0,Indianapolis Colts,Cincinnati Bengals,,,,,,
43352,2018,0,0,Miami Dolphins,Tennessee Titans,,,,,,
43352,2018,0,0,Minnesota Vikings,San Francisco 49ers,,,,,,
43352,2018,0,0,New Orleans Saints,Tampa Bay Buccaneers,,,,,,
43352,2018,0,0,New England Patriots,Houston Texans,,,,,,
43352,2018,0,0,New York Giants,Jacksonville Jaguars,,,,,,
43352,2018,0,0,Baltimore Ravens,Buffalo Bills,,,,,,
43352,2018,0,0,Los Angeles Chargers,Kansas City Chiefs,,,,,,
43352,2018,0,0,Carolina Panthers,Dallas Cowboys,,,,,,
43352,2018,0,0,Arizona Cardinals,Washington Redskins,,,,,,
43352,2018,0,0,Denver Broncos,Seattle Seahawks,,,,,,
43352,2018,0,0,Green Bay Packers,Chicago Bears,,,,,,
43353,2018,0,0,Detroit Lions,New York Jets,,,,,,
43353,2018,0,0,Oakland Raiders,Los Angeles Rams,,,,,,
43356,2018,0,0,Cincinnati Bengals,Baltimore Ravens,,,,,,
43359,2018,0,0,Atlanta Falcons,Carolina Panthers,,,,,,
43359,2018,0,0,Buffalo Bills,Los Angeles Chargers,,,,,,
43359,2018,0,0,Green Bay Packers,Minnesota Vikings,,,,,,
43359,2018,0,0,New Orleans Saints,Cleveland Browns,,,,,,
43359,2018,0,0,New York Jets,Miami Dolphins,,,,,,
43359,2018,0,0,Tennessee Titans,Houston Texans,,,,,,
43359,2018,0,0,Pittsburgh Steelers,Kansas City Chiefs,,,,,,
43359,2018,0,0,Tampa Bay Buccaneers,Philadelphia Eagles,,,,,,
43359,2018,0,0,Washington Redskins,Indianapolis Colts,,,,,,
43359,2018,0,0,Los Angeles Rams,Arizona Cardinals,,,,,,
43359,2018,0,0,San Francisco 49ers,Detroit Lions,,,,,,
43359,2018,0,0,Denver Broncos,Oakland Raiders,,,,,,
43359,2018,0,0,Jacksonville Jaguars,New England Patriots,,,,,,
43359,2018,0,0,Dallas Cowboys,New York Giants,,,,,,
43360,2018,0,0,Chicago Bears,Seattle Seahawks,,,,,,
43363,2018,0,0,Cleveland Browns,New York Jets,,,,,,
43366,2018,0,0,Atlanta Falcons,New Orleans Saints,,,,,,
43366,2018,0,0,Carolina Panthers,Cincinnati Bengals,,,,,,
43366,2018,0,0,Houston Texans,New York Giants,,,,,,
43366,2018,0,0,Jacksonville Jaguars,Tennessee Titans,,,,,,
43366,2018,0,0,Kansas City Chiefs,San Francisco 49ers,,,,,,
43366,2018,0,0,Miami Dolphins,Oakland Raiders,,,,,,
43366,2018,0,0,Minnesota Vikings,Buffalo Bills,,,,,,
43366,2018,0,0,Philadelphia Eagles,Indianapolis Colts,,,,,,
43366,2018,0,0,Baltimore Ravens,Denver Broncos,,,,,,
43366,2018,0,0,Washington Redskins,Green Bay Packers,,,,,,
43366,2018,0,0,Los Angeles Rams,Los Angeles Chargers,,,,,,
43366,2018,0,0,Arizona Cardinals,Chicago Bears,,,,,,
43366,2018,0,0,Seattle Seahawks,Dallas Cowboys,,,,,,
43366,2018,0,0,Detroit Lions,New England Patriots,,,,,,
43367,2018,0,0,Tampa Bay Buccaneers,Pittsburgh Steelers,,,,,,
43370,2018,0,0,Los Angeles Rams,Minnesota Vikings,,,,,,
43373,2018,0,0,Atlanta Falcons,Cincinnati Bengals,,,,,,
43373,2018,0,0,Chicago Bears,Tampa Bay Buccaneers,,,,,,
43373,2018,0,0,Indianapolis Colts,Houston Texans,,,,,,
43373,2018,0,0,Dallas Cowboys,Detroit Lions,,,,,,
43373,2018,0,0,Green Bay Packers,Buffalo Bills,,,,,,
43373,2018,0,0,Jacksonville Jaguars,New York Jets,,,,,,
43373,2018,0,0,New England Patriots,Miami Dolphins,,,,,,
43373,2018,0,0,Tennessee Titans,Philadelphia Eagles,,,,,,
43373,2018,0,0,Arizona Cardinals,Seattle Seahawks,,,,,,
43373,2018,0,0,Oakland Raiders,Cleveland Browns,,,,,,
43373,2018,0,0,New York Giants,New Orleans Saints,,,,,,
43373,2018,0,0,Los Angeles Chargers,San Francisco 49ers,,,,,,
43373,2018,0,0,Pittsburgh Steelers,Baltimore Ravens,,,,,,
43374,2018,0,0,Denver Broncos,Kansas City Chiefs,,,,,,
43377,2018,0,0,New England Patriots,Indianapolis Colts,,,,,,
43380,2018,0,0,Buffalo Bills,Tennessee Titans,,,,,,
43380,2018,0,0,Carolina Panthers,New York Giants,,,,,,
43380,2018,0,0,Cincinnati Bengals,Miami Dolphins,,,,,,
43380,2018,0,0,Cleveland Browns,Baltimore Ravens,,,,,,
43380,2018,0,0,Detroit Lions,Green Bay Packers,,,,,,
43380,2018,0,0,Kansas City Chiefs,Jacksonville Jaguars,,,,,,
43380,2018,0,0,New York Jets,Denver Broncos,,,,,,
43380,2018,0,0,Pittsburgh Steelers,Atlanta Falcons,,,,,,
43380,2018,0,0,Los Angeles Chargers,Oakland Raiders,,,,,,
43380,2018,0,0,Philadelphia Eagles,Minnesota Vikings,,,,,,
43380,2018,0,0,Seattle Seahawks,Los Angeles Rams,,,,,,
43380,2018,0,0,San Francisco 49ers,Arizona Cardinals,,,,,,
43380,2018,0,0,Houston Texans,Dallas Cowboys,,,,,,
43381,2018,0,0,New Orleans Saints,Washington Redskins,,,,,,
43384,2018,0,0,New York Giants,Philadelphia Eagles,,,,,,
43387,2018,0,0,Atlanta Falcons,Tampa Bay Buccaneers,,,,,,
43387,2018,0,0,Cincinnati Bengals,Pittsburgh Steelers,,,,,,
43387,2018,0,0,Cleveland Browns,Los Angeles Chargers,,,,,,
43387,2018,0,0,Houston Texans,Buffalo Bills,,,,,,
43387,2018,0,0,Miami Dolphins,Chicago Bears,,,,,,
43387,2018,0,0,Minnesota Vikings,Arizona Cardinals,,,,,,
43387,2018,0,0,New York Jets,Indianapolis Colts,,,,,,
43387,2018,0,0,Oakland Raiders,Seattle Seahawks,,,,,,
43387,2018,0,0,Washington Redskins,Carolina Panthers,,,,,,
43387,2018,0,0,Denver Broncos,Los Angeles Rams,,,,,,
43387,2018,0,0,Dallas Cowboys,Jacksonville Jaguars,,,,,,
43387,2018,0,0,Tennessee Titans,Baltimore Ravens,,,,,,
43387,2018,0,0,New England Patriots,Kansas City Chiefs,,,,,,
43388,2018,0,0,Green Bay Packers,San Francisco 49ers,,,,,,
43391,2018,0,0,Arizona Cardinals,Denver Broncos,,,,,,
43394,2018,0,0,Los Angeles Chargers,Tennessee Titans,,,,,,
43394,2018,0,0,Chicago Bears,New England Patriots,,,,,,
43394,2018,0,0,Indianapolis Colts,Buffalo Bills,,,,,,
43394,2018,0,0,Jacksonville Jaguars,Houston Texans,,,,,,
43394,2018,0,0,Kansas City Chiefs,Cincinnati Bengals,,,,,,
43394,2018,0,0,Miami Dolphins,Detroit Lions,,,,,,
43394,2018,0,0,New York Jets,Minnesota Vikings,,,,,,
43394,2018,0,0,Philadelphia Eagles,Carolina Panthers,,,,,,
43394,2018,0,0,Tampa Bay Buccaneers,Cleveland Browns,,,,,,
43394,2018,0,0,Baltimore Ravens,New Orleans Saints,,,,,,
43394,2018,0,0,Washington Redskins,Dallas Cowboys,,,,,,
43394,2018,0,0,San Francisco 49ers,Los Angeles Rams,,,,,,
43395,2018,0,0,Atlanta Falcons,New York Giants,,,,,,
43398,2018,0,0,Houston Texans,Miami Dolphins,,,,,,
43401,2018,0,0,Jacksonville Jaguars,Philadelphia Eagles,,,,,,
43401,2018,0,0,Carolina Panthers,Baltimore Ravens,,,,,,
43401,2018,0,0,Chicago Bears,New York Jets,,,,,,
43401,2018,0,0,Cincinnati Bengals,Tampa Bay Buccaneers,,,,,,
43401,2018,0,0,Detroit Lions,Seattle Seahawks,,,,,,
43401,2018,0,0,Kansas City Chiefs,Denver Broncos,,,,,,
43401,2018,0,0,New York Giants,Washington Redskins,,,,,,
43401,2018,0,0,Pittsburgh Steelers,Cleveland Browns,,,,,,
43401,2018,0,0,Oakland Raiders,Indianapolis Colts,,,,,,
43401,2018,0,0,Arizona Cardinals,San Francisco 49ers,,,,,,
43401,2018,0,0,Los Angeles Rams,Green Bay Packers,,,,,,
43401,2018,0,0,Minnesota Vikings,New Orleans Saints,,,,,,
43402,2018,0,0,Buffalo Bills,New England Patriots,,,,,,
43405,2018,0,0,San Francisco 49ers,Oakland Raiders,,,,,,
43408,2018,0,0,Buffalo Bills,Chicago Bears,,,,,,
43408,2018,0,0,Carolina Panthers,Tampa Bay Buccaneers,,,,,,
43408,2018,0,0,Cleveland Browns,Kansas City Chiefs,,,,,,
43408,2018,0,0,Miami Dolphins,New York Jets,,,,,,
43408,2018,0,0,Minnesota Vikings,Detroit Lions,,,,,,
43408,2018,0,0,Baltimore Ravens,Pittsburgh Steelers,,,,,,
43408,2018,0,0,Washington Redskins,Atlanta Falcons,,,,,,
43408,2018,0,0,Denver Broncos,Houston Texans,,,,,,
43408,2018,0,0,Seattle Seahawks,Los Angeles Chargers,,,,,,
43408,2018,0,0,New Orleans Saints,Los Angeles Rams,,,,,,
43408,2018,0,0,New England Patriots,Green Bay Packers,,,,,,
43409,2018,0,0,Dallas Cowboys,Tennessee Titans,,,,,,
43412,2018,0,0,Pittsburgh Steelers,Carolina Panthers,,,,,,
43415,2018,0,0,Chicago Bears,Detroit Lions,,,,,,
43415,2018,0,0,Cincinnati Bengals,New Orleans Saints,,,,,,
43415,2018,0,0,Cleveland Browns,Atlanta Falcons,,,,,,
43415,2018,0,0,Indianapolis Colts,Jacksonville Jaguars,,,,,,
43415,2018,0,0,Green Bay Packers,Miami Dolphins,,,,,,
43415,2018,0,0,Kansas City Chiefs,Arizona Cardinals,,,,,,
43415,2018,0,0,New York Jets,Buffalo Bills,,,,,,
43415,2018,0,0,Tennessee Titans,New England Patriots,,,,,,
43415,2018,0,0,Tampa Bay Buccaneers,Washington Redskins,,,,,,
43415,2018,0,0,Oakland Raiders,Los Angeles Chargers,,,,,,
43415,2018,0,0,Los Angeles Rams,Seattle Seahawks,,,,,,
43415,2018,0,0,Philadelphia Eagles,Dallas Cowboys,,,,,,
43416,2018,0,0,San Francisco 49ers,New York Giants,,,,,,
43419,2018,0,0,Seattle Seahawks,Green Bay Packers,,,,,,
43422,2018,0,0,Atlanta Falcons,Dallas Cowboys,,,,,,
43422,2018,0,0,Chicago Bears,Minnesota Vikings,,,,,,
43422,2018,0,0,Indianapolis Colts,Tennessee Titans,,,,,,
43422,2018,0,0,Detroit Lions,Carolina Panthers,,,,,,
43422,2018,0,0,New Orleans Saints,Philadelphia Eagles,,,,,,
43422,2018,0,0,New York Giants,Tampa Bay Buccaneers,,,,,,
43422,2018,0,0,Baltimore Ravens,Cincinnati Bengals,,,,,,
43422,2018,0,0,Washington Redskins,Houston Texans,,,,,,
43422,2018,0,0,Arizona Cardinals,Oakland Raiders,,,,,,
43422,2018,0,0,Los Angeles Chargers,Denver Broncos,,,,,,
43422,2018,0,0,Jacksonville Jaguars,Pittsburgh Steelers,,,,,,
43423,2018,0,0,Los Angeles Rams,Kansas City Chiefs,,,,,,
43426,2018,0,0,Detroit Lions,Chicago Bears,,,,,,
43426,2018,0,0,Dallas Cowboys,Washington Redskins,,,,,,
43426,2018,0,0,New Orleans Saints,Atlanta Falcons,,,,,,
43429,2018,0,0,Buffalo Bills,Jacksonville Jaguars,,,,,,
43429,2018,0,0,Carolina Panthers,Seattle Seahawks,,,,,,
43429,2018,0,0,Cincinnati Bengals,Cleveland Browns,,,,,,
43429,2018,0,0,Indianapolis Colts,Miami Dolphins,,,,,,
43429,2018,0,0,New York Jets,New England Patriots,,,,,,
43429,2018,0,0,Philadelphia Eagles,New York Giants,,,,,,
43429,2018,0,0,Baltimore Ravens,Oakland Raiders,,,,,,
43429,2018,0,0,Tampa Bay Buccaneers,San Francisco 49ers,,,,,,
43429,2018,0,0,Los Angeles Chargers,Arizona Cardinals,,,,,,
43429,2018,0,0,Denver Broncos,Pittsburgh Steelers,,,,,,
43429,2018,0,0,Minnesota Vikings,Green Bay Packers,,,,,,
43430,2018,0,0,Houston Texans,Tennessee Titans,,,,,,
43433,2018,0,0,Dallas Cowboys,New Orleans Saints,,,,,,
43436,2018,0,0,Atlanta Falcons,Baltimore Ravens,,,,,,
43436,2018,0,0,Cincinnati Bengals,Denver Broncos,,,,,,
43436,2018,0,0,Detroit Lions,Los Angeles Rams,,,,,,
43436,2018,0,0,Green Bay Packers,Arizona Cardinals,,,,,,
43436,2018,0,0,Houston Texans,Cleveland Browns,,,,,,
43436,2018,0,0,Jacksonville Jaguars,Indianapolis Colts,,,,,,
43436,2018,0,0,Miami Dolphins,Buffalo Bills,,,,,,
43436,2018,0,0,New York Giants,Chicago Bears,,,,,,
43436,2018,0,0,Pittsburgh Steelers,Los Angeles Chargers,,,,,,
43436,2018,0,0,Tampa Bay Buccaneers,Carolina Panthers,,,,,,
43436,2018,0,0,Tennessee Titans,New York Jets,,,,,,
43436,2018,0,0,Oakland Raiders,Kansas City Chiefs,,,,,,
43436,2018,0,0,New England Patriots,Minnesota Vikings,,,,,,
43436,2018,0,0,Seattle Seahawks,San Francisco 49ers,,,,,,
43437,2018,0,0,Philadelphia Eagles,Washington Redskins,,,,,,
43440,2018,0,0,Tennessee Titans,Jacksonville Jaguars,,,,,,
43443,2018,0,0,Buffalo Bills,New York Jets,,,,,,
43443,2018,0,0,Chicago Bears,Los Angeles Rams,,,,,,
43443,2018,0,0,Cleveland Browns,Carolina Panthers,,,,,,
43443,2018,0,0,Green Bay Packers,Atlanta Falcons,,,,,,
43443,2018,0,0,Houston Texans,Indianapolis Colts,,,,,,
43443,2018,0,0,Kansas City Chiefs,Baltimore Ravens,,,,,,
43443,2018,0,0,Miami Dolphins,New England Patriots,,,,,,
43443,2018,0,0,Tampa Bay Buccaneers,New Orleans Saints,,,,,,
43443,2018,0,0,Washington Redskins,New York Giants,,,,,,
43443,2018,0,0,Los Angeles Chargers,Cincinnati Bengals,,,,,,
43443,2018,0,0,San Francisco 49ers,Denver Broncos,,,,,,
43443,2018,0,0,Arizona Cardinals,Detroit Lions,,,,,,
43443,2018,0,0,Dallas Cowboys,Philadelphia Eagles,,,,,,
43443,2018,0,0,Oakland Raiders,Pittsburgh Steelers,,,,,,
43444,2018,0,0,Seattle Seahawks,Minnesota Vikings,,,,,,
43447,2018,0,0,Kansas City Chiefs,Los Angeles Chargers,,,,,,
43449,2018,0,0,Denver Broncos,Cleveland Browns,,,,,,
43449,2018,0,0,New York Jets,Houston Texans,,,,,,
43450,2018,0,0,Atlanta Falcons,Arizona Cardinals,,,,,,
43450,2018,0,0,Buffalo Bills,Detroit Lions,,,,,,
43450,2018,0,0,Chicago Bears,Green Bay Packers,,,,,,
43450,2018,0,0,Cincinnati Bengals,Oakland Raiders,,,,,,
43450,2018,0,0,Indianapolis Colts,Dallas Cowboys,,,,,,
43450,2018,0,0,Jacksonville Jaguars,Washington Redskins,,,,,,
43450,2018,0,0,Minnesota Vikings,Miami Dolphins,,,,,,
43450,2018,0,0,New York Giants,Tennessee Titans,,,,,,
43450,2018,0,0,Baltimore Ravens,Tampa Bay Buccaneers,,,,,,
43450,2018,0,0,San Francisco 49ers,Seattle Seahawks,,,,,,
43450,2018,0,0,Pittsburgh Steelers,New England Patriots,,,,,,
43450,2018,0,0,Los Angeles Rams,Philadelphia Eagles,,,,,,
43451,2018,0,0,Carolina Panthers,New Orleans Saints,,,,,,
43457,2018,0,0,Carolina Panthers,Atlanta Falcons,,,,,,
43457,2018,0,0,Cleveland Browns,Cincinnati Bengals,,,,,,
43457,2018,0,0,Indianapolis Colts,New York Giants,,,,,,
43457,2018,0,0,Dallas Cowboys,Tampa Bay Buccaneers,,,,,,
43457,2018,0,0,Detroit Lions,Minnesota Vikings,,,,,,
43457,2018,0,0,Miami Dolphins,Jacksonville Jaguars,,,,,,
43457,2018,0,0,New England Patriots,Buffalo Bills,,,,,,
43457,2018,0,0,New York Jets,Green Bay Packers,,,,,,
43457,2018,0,0,Tennessee Titans,Washington Redskins,,,,,,
43457,2018,0,0,Philadelphia Eagles,Houston Texans,,,,,,
43457,2018,0,0,Arizona Cardinals,Los Angeles Rams,,,,,,
43457,2018,0,0,Los Angeles Chargers,Baltimore Ravens,,,,,,
43457,2018,0,0,San Francisco 49ers,Chicago Bears,,,,,,
43457,2018,0,0,New Orleans Saints,Pittsburgh Steelers,,,,,,
43457,2018,0,0,Seattle Seahawks,Kansas City Chiefs,,,,,,
43458,2018,0,0,Oakland Raiders,Denver Broncos,,,,,,
43464,2018,0,0,Buffalo Bills,Miami Dolphins,,,,,,
43464,2018,0,0,Green Bay Packers,Detroit Lions,,,,,,
43464,2018,0,0,Houston Texans,Jacksonville Jaguars,,,,,,
43464,2018,0,0,Kansas City Chiefs,Oakland Raiders,,,,,,
43464,2018,0,0,Minnesota Vikings,Chicago Bears,,,,,,
43464,2018,0,0,New Orleans Saints,Carolina Panthers,,,,,,
43464,2018,0,0,New England Patriots,New York Jets,,,,,,
43464,2018,0,0,New York Giants,Dallas Cowboys,,,,,,
43464,2018,0,0,Tennessee Titans,Indianapolis Colts,,,,,,
43464,2018,0,0,Pittsburgh Steelers,Cincinnati Bengals,,,,,,
43464,2018,0,0,Baltimore Ravens,Cleveland Browns,,,,,,
43464,2018,0,0,Tampa Bay Buccaneers,Atlanta Falcons,,,,,,
43464,2018,0,0,Washington Redskins,Philadelphia Eagles,,,,,,
43464,2018,0,0,Denver Broncos,Los Angeles Chargers,,,,,,
43464,2018,0,0,Los Angeles Rams,San Francisco 49ers,,,,,,
43464,2018,0,0,Seattle Seahawks,Arizona Cardinals,,,,,,
